loss,auc,asr,nasr
0,57.300506,10.000000,0.000000,0.000000
0,1.392394,49.759998,17.713757,31.652662
1,1.150297,59.309998,5.623048,12.605042
2,1.029138,62.779999,5.229666,15.126051
3,1.093049,62.829998,6.051140,11.204482
4,0.948922,68.220001,3.135485,7.843137
5,0.850877,70.849998,1.388407,5.322129
6,1.170141,64.189995,1.839639,6.722689
7,0.956720,69.759995,8.122180,21.568628
8,0.831908,72.180000,8.307301,19.607843
9,0.955197,68.449997,5.866019,15.966387
10,0.868024,71.769997,3.563577,10.084034
11,0.924121,70.879997,3.193336,10.084034
12,1.422846,63.679996,7.069305,22.128853
13,1.152071,68.089996,5.125535,14.005603
14,1.045969,68.979996,5.889159,18.767508
15,1.062677,71.259995,4.442902,15.126051
16,1.256328,67.830002,8.376721,27.731092
17,1.092268,69.479996,4.558602,13.725491
18,1.262657,65.739998,6.328821,17.647058
19,1.124507,72.860001,5.773458,16.246498
20,2.172868,60.129997,14.774962,26.890757
21,1.681147,65.299995,12.796483,21.008404
22,1.640240,65.570000,23.313665,38.935574
23,1.538756,67.449997,24.470671,35.854343
24,1.369315,69.860001,16.024529,28.851542
25,1.355475,70.439995,17.389795,25.490196
26,1.353136,70.430000,16.649311,23.809525
27,1.349156,71.879997,10.494041,17.086836
28,1.216504,73.739998,11.963439,21.288515
29,1.416978,70.509995,32.407730,40.056023
30,1.486050,69.720001,20.386440,25.770309
31,1.557508,69.820000,10.401481,15.406163
32,1.537316,70.529999,13.583246,16.526611
33,1.379749,72.000000,35.068844,38.935574
34,1.463074,71.750000,19.726948,22.408964
35,1.590673,70.119995,39.581165,43.137257
36,1.528132,70.619995,37.683674,35.294117
37,1.449696,73.299995,33.668865,38.655464
38,1.667118,67.900002,26.518570,27.170870
39,1.411491,73.299995,27.837557,24.649860
40,1.519887,71.250000,23.082264,22.689075
41,1.428901,73.549995,26.969803,25.770309
42,1.791035,69.049995,22.538471,16.526611
43,1.494839,73.290001,32.153187,29.411766
44,1.304442,75.439995,30.649080,27.450981
45,1.325060,75.199997,36.804352,33.613445
46,1.289974,76.009995,29.133404,27.170870
47,1.323694,76.119995,35.948166,33.053223
48,1.287500,76.389999,33.229202,29.691877
49,1.301068,76.220001,35.346523,31.092438
50,1.303111,76.259995,34.455627,32.212887
51,1.286300,76.259995,34.189518,32.212887
52,1.285887,76.449997,33.148212,30.252102
53,1.296986,76.369995,35.381233,31.652662
54,1.272217,76.580002,32.685410,28.851542
55,1.274444,76.500000,33.946548,30.252102
56,1.277140,76.389999,33.969688,29.411766
57,1.282211,76.419998,34.710171,31.372549
58,1.274094,76.279999,33.934978,30.812326
59,1.268861,76.409996,34.351498,31.092438
60,1.285753,76.369995,36.017586,31.932774
61,1.263515,76.479996,33.934978,30.532213
62,1.264731,76.419998,34.177948,30.252102
63,1.270284,76.349998,35.103554,29.971989
64,1.264364,76.509995,33.067223,29.971989
65,1.257854,76.500000,34.953140,30.812326
66,1.252811,76.379997,34.733311,30.812326
67,1.243756,76.330002,33.182922,29.411766
68,1.248351,76.599998,33.125072,28.571428
69,1.249485,76.449997,36.364689,30.812326
70,1.240351,76.489998,35.184544,31.092438
71,1.234888,76.559998,33.772995,29.971989
72,1.233051,76.369995,34.814301,30.252102
73,1.235347,76.549995,33.992828,30.252102
74,1.243032,76.309998,35.531643,30.812326
75,1.237357,76.229996,35.439083,31.092438
76,1.218286,76.409996,33.865555,29.971989
77,1.232645,76.299995,35.080414,30.812326
78,1.216929,76.509995,34.004398,30.532213
79,1.222480,76.439995,35.334953,31.652662
80,1.214793,76.500000,33.194492,29.131653
81,1.215736,76.400002,33.911835,30.812326
82,1.214827,76.389999,33.761425,29.971989
83,1.226031,76.339996,35.346523,31.372549
84,1.215586,76.470001,33.634155,29.971989
85,1.213633,76.529999,33.738285,30.252102
86,1.212642,76.509995,33.784565,30.252102
87,1.213456,76.479996,34.247368,30.532213
88,1.225052,76.489998,35.577923,31.932774
89,1.245775,76.229996,37.591114,32.212887
90,1.224419,76.379997,35.982876,31.652662
91,1.216829,76.430000,35.091984,30.252102
92,1.211849,76.519997,33.437466,28.851542
93,1.223394,76.360001,34.756451,30.532213
94,1.216867,76.389999,34.513481,30.532213
95,1.224379,76.369995,35.323383,31.372549
96,1.215732,76.419998,35.184544,30.532213
97,1.216916,76.500000,34.490341,30.252102
98,1.212841,76.439995,34.374638,31.092438
99,1.226890,76.369995,36.723362,32.212887
