loss,auc,asr,nasr
0,69.317730,10.000000,100.000000,100.000000
0,1.483728,48.139999,9.254289,37.587006
1,1.197929,58.410000,7.422103,60.788860
2,1.227742,59.049999,13.945618,82.830627
3,1.249090,61.109997,16.232933,90.719254
4,1.276599,59.829998,17.318241,87.006958
5,1.423750,58.209999,10.281246,81.206497
6,1.059502,69.099998,20.212393,87.470993
7,1.066396,68.290001,7.095344,74.709976
8,1.068415,69.739998,16.734741,83.526680
9,1.098522,68.409996,10.736375,77.958237
10,1.220448,68.180000,19.278795,86.078880
11,1.490334,67.139999,33.072704,96.055679
12,1.471089,65.250000,13.082040,81.206497
13,1.455420,66.650002,21.554440,90.023201
14,1.327528,69.009995,25.452211,83.758698
15,1.682581,65.070000,23.246586,91.647331
16,1.629729,65.449997,17.598320,85.614845
17,1.810062,63.910000,17.504959,81.670532
18,1.569771,67.250000,14.622477,76.798141
19,1.475647,70.279999,25.697281,83.990715
20,1.533950,69.830002,29.770102,88.167053
21,1.664363,69.330002,21.402731,81.206497
22,1.615725,69.150002,15.719454,78.190254
23,1.576168,70.430000,16.968142,83.062645
24,1.706978,70.199997,25.580582,88.863106
25,1.562933,70.489998,26.175751,80.742455
26,1.856145,68.869995,26.292450,89.095123
27,1.834536,69.180000,19.733925,80.974472
28,1.708257,69.889999,21.986229,80.742455
29,1.788670,70.639999,25.055433,86.310905
30,1.880746,70.269997,27.599487,91.415314
31,2.195542,64.739998,17.224880,83.294662
32,1.728749,71.599998,20.819233,80.510437
33,1.919925,70.650002,28.206326,87.703011
34,1.813172,72.259995,28.404715,87.238976
35,1.865570,71.320000,33.971291,89.791183
36,2.020637,70.949997,33.317772,92.111366
37,1.760160,72.320000,24.436924,87.238976
38,1.718534,73.470001,22.593067,83.294662
39,1.775909,73.869995,31.497257,91.879349
40,1.661476,74.279999,25.440542,85.614845
41,1.745834,74.589996,29.268293,88.631088
42,1.712397,74.680000,28.147976,88.399071
43,1.694876,74.629997,27.307737,87.703011
44,1.718298,74.549995,27.681177,88.167053
45,1.650303,74.879997,25.580582,86.542923
46,1.694056,74.599998,27.844557,88.167053
47,1.656515,74.599998,25.440542,86.078880
48,1.708986,74.549995,28.182985,89.095123
49,1.662925,74.820000,26.875948,87.703011
50,1.682428,74.549995,27.949585,88.167053
51,1.659796,74.739998,26.327459,87.703011
52,1.656006,74.709999,26.479170,87.703011
53,1.675639,74.629997,27.879566,88.631088
54,1.630697,74.930000,25.102112,85.382828
55,1.659883,74.779999,27.447777,88.167053
56,1.655339,74.930000,27.727856,88.167053
57,1.642831,74.939995,27.564476,87.238976
58,1.683245,74.599998,27.377756,88.399071
59,1.653368,74.650002,26.735909,88.399071
60,1.667407,74.659996,28.136305,88.631088
61,1.680175,74.639999,29.945150,89.327141
62,1.629084,74.820000,26.467499,87.470993
63,1.651329,74.729996,27.681177,88.167053
64,1.626060,74.629997,27.996265,88.399071
65,1.709914,74.320000,31.508928,91.183289
66,1.631001,74.489998,28.591434,88.399071
67,1.617652,74.799995,27.727856,88.167053
68,1.625810,74.659996,27.354418,88.863106
69,1.605863,74.790001,26.829268,87.935028
70,1.613482,74.809998,28.451395,88.631088
71,1.613923,74.629997,27.914576,88.631088
72,1.597223,74.769997,27.050999,88.167053
73,1.608739,74.750000,28.253006,87.935028
74,1.587776,74.639999,27.284397,87.935028
75,1.566888,74.739998,25.638931,87.703011
76,1.566361,74.820000,25.872330,87.703011
77,1.623149,74.519997,29.688412,89.791183
78,1.570326,74.669998,26.980978,87.935028
79,1.588669,74.470001,27.681177,87.935028
80,1.583743,74.479996,27.716187,87.935028
81,1.597578,74.619995,28.603104,88.399071
82,1.542247,74.799995,25.755630,87.470993
83,1.596237,74.629997,28.358034,88.631088
84,1.572701,74.729996,27.237717,87.935028
85,1.586105,74.720001,27.751196,88.167053
86,1.586348,74.669998,27.972925,88.167053
87,1.560467,74.759995,27.506126,88.167053
88,1.572068,74.680000,27.179367,87.703011
89,1.553585,74.709999,26.117399,87.006958
90,1.581568,74.509995,28.077955,88.167053
91,1.551481,74.650002,26.140739,87.470993
92,1.580002,74.659996,27.517797,87.935028
93,1.566731,74.610001,27.517797,87.935028
94,1.591090,74.570000,28.463064,88.631088
95,1.589847,74.430000,28.463064,88.399071
96,1.599727,74.529999,28.428055,88.863106
97,1.557186,74.799995,26.339130,87.470993
98,1.557964,74.699997,26.759249,87.470993
99,1.554598,74.709999,26.852608,87.703011
