loss,auc,asr,nasr
0,2.538400,7.050000,0.000000,0.000000
0,1.859112,32.570000,17.855059,29.930393
1,1.674711,38.500000,4.551290,8.816705
2,1.564057,43.500000,14.669156,31.554523
3,1.476822,45.980000,13.887268,36.658932
4,1.444864,48.559998,14.785856,47.795822
5,1.351399,50.750000,13.187070,47.563805
6,1.334435,50.599998,17.761700,60.788860
7,1.270978,54.459999,18.356869,60.556843
8,1.241155,54.949997,14.774186,57.540600
9,1.264680,54.709999,34.613140,64.501160
10,1.200972,56.549999,26.794258,66.589325
11,1.246410,55.989998,41.440075,74.245934
12,1.189862,57.809998,42.875481,69.373550
13,1.208616,56.849998,41.486755,71.693733
14,1.145833,59.539997,37.647335,63.109047
15,1.193801,58.719997,54.382076,79.350342
16,1.155817,59.480000,40.413116,70.301620
17,1.113664,60.969997,48.698799,58.004639
18,1.117225,60.549999,44.555958,68.445473
19,1.106138,60.809998,43.342281,58.004639
20,1.149969,59.619999,53.261757,68.909508
21,1.111616,61.820000,58.233166,70.069603
22,1.120658,60.809998,57.614658,73.781898
23,1.120541,61.480000,52.561558,76.102089
24,1.064136,62.799999,44.567627,58.932713
25,1.079110,62.739998,49.667404,65.197212
26,1.069245,62.959999,52.748280,59.628769
27,1.089887,62.590000,47.928581,63.341064
28,1.108874,61.919998,50.916092,70.765656
29,1.091620,62.259998,46.784924,58.932713
30,1.088748,62.469997,53.681877,68.445473
31,1.086905,63.039997,51.126152,65.197212
32,1.081133,62.919998,43.272259,64.965195
33,1.147174,61.209999,61.115650,70.301620
34,1.154623,61.750000,52.223129,70.069603
35,1.102571,62.660000,51.756332,64.501160
36,1.104188,62.969997,53.646866,68.677490
37,1.099938,62.930000,50.309254,61.484917
38,1.085341,63.509998,52.981678,61.948956
39,1.081492,63.709999,38.417553,53.596287
40,1.162975,61.439999,58.268177,78.190254
41,1.064591,63.549999,48.126968,57.308582
42,1.132813,62.590000,55.035595,64.269142
43,1.122934,62.730000,53.950287,63.109047
44,1.112387,62.949997,48.605438,51.740139
45,1.102781,63.219997,50.390945,58.236656
46,1.151626,62.279999,60.683861,67.981438
47,1.120246,63.279999,49.865795,64.037117
48,1.167301,62.649998,60.893921,72.853828
49,1.139425,62.820000,47.426769,51.276100
50,1.163178,61.570000,54.755512,69.837585
51,1.182567,62.009998,59.505192,67.285378
52,1.175534,61.969997,54.557125,70.997681
53,1.122301,63.629997,50.122536,55.452435
54,1.222831,62.059998,57.264557,70.069603
55,1.182888,62.480000,56.949471,72.157768
56,1.212856,61.959999,55.023922,67.749420
57,1.240390,61.029999,55.117283,70.533638
58,1.180084,62.660000,49.935814,60.556843
59,1.180835,62.439999,45.466217,63.805103
60,1.211486,61.500000,53.191738,68.445473
61,1.177360,63.029999,42.805462,53.364265
62,1.174191,63.019997,44.124168,52.900230
63,1.218954,61.899998,52.164780,60.092804
64,1.218442,61.660000,48.850506,62.180973
65,1.296651,61.399998,62.142609,61.484917
66,1.252074,61.449997,61.337379,71.229698
67,1.214236,62.750000,53.460148,61.716934
68,1.238106,62.730000,55.665771,61.716934
69,1.258899,61.910000,54.300385,69.141525
70,1.263386,62.129997,60.217060,67.517403
71,1.333002,61.070000,61.629128,70.765656
72,1.354871,61.369999,53.553509,71.925751
73,1.297089,61.389999,58.921696,70.765656
74,1.243819,62.259998,51.102814,57.540600
75,1.229619,62.730000,40.973274,54.524361
76,1.302340,62.169998,52.981678,58.468674
77,1.313118,61.809998,53.040028,66.821342
78,1.253105,62.269997,42.490372,49.651970
79,1.346445,60.590000,57.346249,70.069603
80,1.306141,63.359997,49.760765,61.716934
81,1.357279,62.879997,51.161163,64.733177
82,1.389524,62.750000,49.515697,60.788860
83,1.412889,62.939999,47.251720,58.700695
84,1.451780,62.669998,50.647682,60.556843
85,1.493410,62.500000,51.943050,64.037117
86,1.509245,62.439999,52.269810,60.324825
87,1.521675,62.469997,48.091961,57.772621
88,1.551864,62.309998,49.982494,59.628769
89,1.582377,62.399998,48.792156,58.700695
90,1.614657,62.169998,52.199791,59.860786
91,1.638754,62.139999,51.873032,61.484917
92,1.624217,62.320000,47.310070,53.828304
